Kaplan-Meier Estimate	337
Coronary Occlusion	89
Myocardial Perfusion Imaging	53
Anterior Wall Myocardial Infarction	41
Healthcare Disparities	39
Microvessels	31
Atrioventricular Block	23
Plaque, Atherosclerotic	23
Protein Kinase Inhibitors	22
Inferior Wall Myocardial Infarction	21
Adult Stem Cells	20
Embryonic Stem Cells	20
Venous Thromboembolism	19
Propensity Score	16
MicroRNAs	16
Health Status Disparities	15
Aryl Hydrocarbon Hydroxylases	15
Absorbable Implants	14
Cytochrome P-450 CYP2C19	14
Fractional Flow Reserve, Myocardial	13
Medication Adherence	13
Glycogen Synthase Kinase 3	12
Extracellular Signal-Regulated MAP Kinases	12
Elasticity Imaging Techniques	12
Purinergic P2Y Receptor Antagonists	11
Nanoparticles	11
Myocardial Bridging	11
Incidental Findings	11
Brugada Syndrome	11
Delayed Diagnosis	11
Tubulin Modulators	11
Republic of Korea	9
Resistin	9
Electronic Health Records	9
HMGB1 Protein	9
Receptors, Erythropoietin	9
Chromosomes, Human, Pair 9	8
Heart Failure, Systolic	8
Autophagy	8
Growth Differentiation Factor 15	8
Adipokines	8
Cell Shape	7
Dendritic Cells	7
Protein Transport	7
Cell Line, Tumor	7
Quality Improvement	7
Ischemic Postconditioning	7
Tissue and Organ Harvesting	7
Models, Genetic	7
Inhalation Exposure	7
Cardiac-Gated Single-Photon Emission Computer-Assisted Tomography	7
Mice, Inbred NOD	7
Acute Lung Injury	7
Cyclic N-Oxides	7
Population Groups	7
Insurance, Pharmaceutical Services	6
Microfilament Proteins	6
Thymosin	6
Coronary Sinus	6
Mannose-Binding Lectin	6
Aldehyde Dehydrogenase	6
Chromatography, Liquid	6
Waist Circumference	6
Escherichia coli Infections	6
Foramen Ovale, Patent	6
Celiac Artery	5
Insulin-Like Growth Factor Binding Protein 1	5
Morpholines	5
Toll-Like Receptor 2	5
Microarray Analysis	5
Tissue Kallikreins	5
Cardiac-Gated Imaging Techniques	5
P-Glycoprotein	5
Egypt	5
Lectins	5
Cell Aging	5
Genetic Association Studies	5
Behavioral Risk Factor Surveillance System	5
Tandem Mass Spectrometry	5
Evidence-Based Practice	5
P-Glycoproteins	5
Phenols	5
Principal Component Analysis	5
Endovascular Procedures	5
Herbicides	5
Complement Inactivating Agents	5
Interleukin-17	5
Femoral Neck Fractures	5
Delivery, Obstetric	4
Antigens, CD147	4
Forkhead Transcription Factors	4
Neutrons	4
Glucosides	4
Estrogen Receptor beta	4
Fumarates	4
Certificate of Need	4
Translational Medical Research	4
Geographic Information Systems	4
OX40 Ligand	4
Body Burden	4
Heart Failure, Diastolic	4
Calcium Signaling	4
Receptors, Mineralocorticoid	4
Phenanthrenes	4
NAV1.5 Voltage-Gated Sodium Channel	4
Spin Labels	4
Yin-Yang	4
Torsion Abnormality	4
Preoperative Period	4
Cell-Derived Microparticles	4
beta Catenin	4
I-kappa B Kinase	4
Cyclobutanes	4
Luciferases, Firefly	4
Aptamers, Nucleotide	4
Database Management Systems	4
Calgranulin B	4
Gene Expression Regulation, Developmental	4
Sedentary Lifestyle	4
Cotinine	4
Extracellular Fluid	4
Chromium Alloys	4
Ghrelin	4
Biological Clocks	4
High-Energy Shock Waves	4
Coagulants	4
Erythroid Precursor Cells	3
Polyphenols	3
Sternotomy	3
Microglia	3
Leukotriene Antagonists	3
Famous Persons	3
Mouth Diseases	3
Prolactin	3
Biomarkers, Pharmacological	3
Azerbaijan	3
Peripheral Arterial Disease	3
Phosphodiesterase 5 Inhibitors	3
Perfusion Imaging	3
Incretins	3
Records as Topic	3
Membrane Potential, Mitochondrial	3
Seminoma	3
Lactoferrin	3
Receptors, Adrenergic, beta-3	3
Consumer Participation	3
Bipolar Disorder	3
Prostate	3
Chromogranin A	3
Data Mining	3
Class Ib Phosphatidylinositol 3-Kinase	3
Spirometry	3
Panax notoginseng	3
Wood	3
TOR Serine-Threonine Kinases	3
Carboxylic Ester Hydrolases	3
Institute of Medicine (U.S.)	3
Cell Dedifferentiation	3
Intramolecular Oxidoreductases	3
Drugs, Generic	3
Molecular Probe Techniques	3
Phospholipases A2, Secretory	3
Amides	3
National Heart, Lung, and Blood Institute (U.S.)	3
Urine	3
Ethanolamines	3
Vitamin D Deficiency	3
Prolapse	3
Receptor Activity-Modifying Protein 3	3
Septal Occluder Device	3
Clinical Trials Data Monitoring Committees	3
Surgical Instruments	3
Ganglia, Spinal	3
Status Asthmaticus	3
Transplants	3
Prescription Drugs	3
Procollagen-Proline Dioxygenase	3
Streptozocin	3
Cyclic GMP-Dependent Protein Kinases	3
Hematoma, Subdural	3
Health Planning Guidelines	3
Benzaldehydes	3
Magnetic Resonance Imaging, Interventional	3
Receptors, Thyroid Hormone	3
Administration, Intranasal	3
Celiac Disease	3
Serbia	3
Air Pollution, Indoor	3
Chemical Industry	3
Anatomy, Cross-Sectional	3
Qi	3
Antigens, Thy-1	3
Calcitonin Receptor-Like Protein	3
Calgranulin A	3
Oman	3
Protein Carbonylation	3
Gene Silencing	3
Methylation	3
Cricetulus	3
Quinoxalines	3
Population Dynamics	3
Forensic Toxicology	3
Receptor Activity-Modifying Protein 2	3
Ventricular Myosins	3
Abdominal Fat	3
Emigrants and Immigrants	3
Hematoma, Epidural, Spinal	3
Citalopram	3
Receptors, Lysosphingolipid	3
Oncogene Protein v-akt	3
Androstenes	3
Mandatory Reporting	3
Synaptotagmin I	3
Geum	3
Solanaceous Alkaloids	3
Receptors, Calcitonin	3
Glucose Metabolism Disorders	3
Accidents, Aviation	3
Insulin, Isophane	3
Nicotinamide Phosphoribosyltransferase	3
Tumor Necrosis Factor Ligand Superfamily Member 14	3
Receptor Activity-Modifying Proteins	3
Cell Extracts	2
Caspase 9	2
Ovulation Induction	2
Granzymes	2
Massage	2
Procollagen N-Endopeptidase	2
Deductibles and Coinsurance	2
Adipose Tissue, Brown	2
Problem-Based Learning	2
Iodide Peroxidase	2
Empirical Research	2
Bacteriocins	2
Personality Disorders	2
Perylene	2
Angina, Stable	2
Gynecomastia	2
X-Ray Diffraction	2
Validation Studies as Topic	2
Receptors, Glucagon	2
Electrodiagnosis	2
Paroxetine	2
Occupational Therapy	2
Paraventricular Hypothalamic Nucleus	2
Maleates	2
Receptors, Tumor Necrosis Factor, Type II	2
Automation, Laboratory	2
Zygomycosis	2
Ankle Brachial Index	2
Awards and Prizes	2
Fibrillar Collagens	2
Students, Medical	2
Plutonium	2
Protein Folding	2
Immune System Diseases	2
Dermatologic Agents	2
Chronic Periodontitis	2
Influenza A Virus, H1N1 Subtype	2
Donor Selection	2
Perioperative Period	2
Boronic Acids	2
Guided Tissue Regeneration	2
Administration, Intravaginal	2
Cholinergic Antagonists	2
Vibration	2
Campylobacter Infections	2
Interleukin-2 Receptor alpha Subunit	2
Postpericardiotomy Syndrome	2
Erythema	2
Tissue Scaffolds	2
Aminopyridines	2
Tryptophan-tRNA Ligase	2
Kinesin	2
Amoxicillin-Potassium Clavulanate Combination	2
Oral Surgical Procedures	2
Clusterin	2
Amidohydrolases	2
Powders	2
Parietal Lobe	2
Genome-Wide Association Study	2
Lactate Dehydrogenases	2
Return to Work	2
Illness Behavior	2
Vasa Vasorum	2
Intelligence Tests	2
Pharyngeal Diseases	2
Opportunistic Infections	2
Home Care Services, Hospital-Based	2
Schizophrenic Psychology	2
Mice, Inbred DBA	2
Glucosephosphate Dehydrogenase	2
Receptors, Interleukin-8B	2
Appetite Depressants	2
Centrifugation, Density Gradient	2
Thyroid Hormone Receptors alpha	2
Rutin	2
Serotonin Agents	2
Chemokine CXCL10	2
Piroxicam	2
Drug Storage	2
Prescription Fees	2
Virion	2
Telangiectasia, Hereditary Hemorrhagic	2
Tannins	2
Bioengineering	2
Cardiac Electrophysiology	2
Mitral Valve Annuloplasty	2
Financing, Government	2
Microfluidic Analytical Techniques	2
Ear Protective Devices	2
Drug Information Services	2
Interleukin-1alpha	2
Senegal	2
Lymph Nodes	2
Adenosine A3 Receptor Agonists	2
Clinical Clerkship	2
Norepinephrine Plasma Membrane Transport Proteins	2
Group IV Phospholipases A2	2
MARVEL Domain-Containing Proteins	2
Hepcidins	2
Neuromuscular Agents	2
Living Donors	2
Phosphotransferases	2
Marketing	2
Circadian Clocks	2
Hexanes	2
Thiourea	2
Prenatal Care	2
Receptor, Epidermal Growth Factor	2
Dipeptidyl-Peptidase IV Inhibitors	2
Evidence-Based Nursing	2
Maternal Welfare	2
Caspase 8	2
Embolic Protection Devices	2
Twins, Monozygotic	2
Diabetic Cardiomyopathies	2
Hockey	2
Pyelonephritis	2
Lipectomy	2
Cholagogues and Choleretics	2
Cardiac Imaging Techniques	2
Mammography	2
Sublingual Gland	2
Muscle Development	2
Electroporation	2
Mood Disorders	2
Histocompatibility	2
Smad2 Protein	2
Lithium Chloride	2
HIV-Associated Lipodystrophy Syndrome	2
Out-of-Hospital Cardiac Arrest	2
Cacao	2
Bacteria	2
Ritodrine	2
Smallpox Vaccine	2
Serum Albumin, Bovine	2
Lung Injury	2
Bone Morphogenetic Protein 4	2
Fracture Fixation, Internal	2
Pancreatitis, Chronic	2
Parathyroid Hormone-Related Protein	2
Succinylcholine	2
Gastric Dilatation	2
Cystathionine gamma-Lyase	2
Ultrasonography, Mammary	2
Pneumatosis Cystoides Intestinalis	2
Resilience, Psychological	2
Cyclopentanes	2
Vertebral Artery Dissection	2
Acarbose	2
Medicare Part D	2
Nomograms	2
Hepatocytes	2
Live Birth	2
Common Bile Duct	2
NIH 3T3 Cells	2
Kruppel-Like Transcription Factors	2
Chickenpox	2
Social Control, Formal	2
Potassium Channels, Calcium-Activated	2
Premature Birth	2
Gentamicins	2
Clodronic Acid	2
Polystyrenes	2
Georgia (Republic)	2
Fetal Diseases	2
Photomicrography	2
Herniorrhaphy	2
Hyperoxia	2
Laryngeal Diseases	2
Acromegaly	2
Prostatitis	2
Tyrosine-tRNA Ligase	2
Inosine Diphosphate	2
Honey	2
Chorioallantoic Membrane	2
Plant Stems	2
Androgens	2
Scrub Typhus	2
SOXB1 Transcription Factors	2
Limit of Detection	2
Papio ursinus	2
Rhizome	2
Molecular Targeted Therapy	2
Hexuronic Acids	2
Kentucky	2
Alginates	2
Eosinophil Major Basic Protein	2
Asymptomatic Diseases	2
Bone Remodeling	2
Sweetening Agents	2
Pancreaticoduodenectomy	2
Elastic Modulus	2
Pancreatitis, Alcoholic	2
DNA, Ribosomal	2
Receptor, Adenosine A2B	2
Alcohol-Related Disorders	2
Amnesia, Transient Global	2
Keratin-18	2
Headache Disorders, Primary	2
Receptor, Cannabinoid, CB1	2
Cardiovascular Abnormalities	2
Riboflavin	2
Cytochrome P-450 CYP2D6	2
Skull Fractures	2
Circulatory Arrest, Deep Hypothermia Induced	2
X-Ray Microtomography	2
Amphotericin B	2
Drug Compounding	2
Intracranial Hemorrhage, Traumatic	2
Triterpenes	2
Low Back Pain	2
Thigh	2
Organophosphate Poisoning	2
Genomics	2
CCAAT-Enhancer-Binding Protein-delta	2
Wound Infection	2
Diterpenes	2
Activins	2
Cystitis	2
Diabetes Insipidus, Neurogenic	2
Genome	2
Glucuronic Acid	2
Vagus Nerve Stimulation	2
Drug Dosage Calculations	2
rho-Associated Kinases	2
Endopeptidases	2
Restaurants	2
Genes, p16	2
Molecular Conformation	2
Sirtuins	2
Fracture Fixation	2
Pancreatic Pseudocyst	2
Religion	2
Arthroplasty, Replacement	2
Arthralgia	2
Phosphatidylinositol 3-Kinase	2
Air Pollutants, Occupational	2
Trust	2
Flavin Mononucleotide	2
Neoadjuvant Therapy	2
Obesity, Abdominal	2
Psychology, Social	2
Scleroderma, Limited	2
Androgen Antagonists	2
Receptors, CCR5	2
Blast Injuries	2
Focal Adhesion Kinase 1	2
Pressure Ulcer	2
Platelet-Rich Plasma	2
Independent Living	2
Tachycardia, Ectopic Atrial	2
Gene Regulatory Networks	2
Hydrogels	2
Ape Diseases	2
Persistent Vegetative State	2
Desipramine	2
Rhodiola	2
Medication Therapy Management	2
Rats, Transgenic	2
Tooth Diseases	2
Muscarinic Antagonists	2
LIM-Homeodomain Proteins	2
Antigens, CD15	2
Zymosan	2
Influenza A Virus, H5N1 Subtype	1
Janus Kinases	1
Common Variable Immunodeficiency	1
Prognathism	1
Clozapine	1
Women, Working	1
Filtering Surgery	1
Proto-Oncogene Proteins c-myc	1
Radiochemistry	1
Amphibian Proteins	1
HLA-DQ alpha-Chains	1
Bacterial Toxins	1
Bread	1
Mandatory Programs	1
Fetal Growth Retardation	1
Immunomodulation	1
Facial Injuries	1
Elbow Joint	1
Whooping Cough	1
Escherichia coli O157	1
Microscopy, Fluorescence, Multiphoton	1
Medulla Oblongata	1
Bonding, Human-Pet	1
Cardiotoxins	1
Xylazine	1
Rectal Diseases	1
Occupational Health Services	1
Patient Simulation	1
Lab-On-A-Chip Devices	1
RandomAllocation	1
Scopolamine Derivatives	1
Drosophila	1
Duodenoscopy	1
INDEL Mutation	1
Phosphodiesterase 3 Inhibitors	1
Exosomes	1
Chorionic Gonadotropin	1
11-beta-Hydroxysteroid Dehydrogenases	1
Risperidone	1
Foundations	1
Directly Observed Therapy	1
Attention Deficit Disorder with Hyperactivity	1
Fluconazole	1
Recombination, Genetic	1
Keratolytic Agents	1
Amiloride	1
Microscopy, Acoustic	1
Needlestick Injuries	1
Standard of Care	1
Parathyroidectomy	1
Purine Nucleosides	1
Twin Studies as Topic	1
Splenomegaly	1
Vertebroplasty	1
Advertising as Topic	1
Zyxin	1
Astrocytoma	1
Medicine in Literature	1
Sleep Arousal Disorders	1
Insecticides	1
Neural Conduction	1
Synaptotagmins	1
Retroperitoneal Fibrosis	1
Manikins	1
Wheat Germ Agglutinins	1
Atrial Septum	1
United States Dept. of Health and Human Services	1
Receptors, Dopamine	1
Paeonia	1
Azides	1
Kidney Tubules, Proximal	1
Psychotherapy, Brief	1
Cryptogenic Organizing Pneumonia	1
Spinal Cord Vascular Diseases	1
Allosteric Regulation	1
Individualized Medicine	1
Jejunostomy	1
Chromaffin Cells	1
Insects	1
Repetitive Sequences, Nucleic Acid	1
Muramidase	1
ADP-ribosyl Cyclase	1
Planning Techniques	1
Infant, Very Low Birth Weight	1
Erigeron	1
Cytokine Receptor Common beta Subunit	1
Oligoribonucleotides	1
Sodium-Calcium Exchanger	1
Trypsin	1
Cerebrospinal Fluid Shunts	1
Genes, Recessive	1
Mechanotransduction, Cellular	1
Hepatomegaly	1
Knowledge	1
Body Fluid Compartments	1
Skin Window Technique	1
Idaho	1
Vascular Endothelial Growth Factor B	1
Tendon Injuries	1
Licensure	1
Brief Psychiatric Rating Scale	1
Methylmalonic Acid	1
Unemployment	1
Sp1 Transcription Factor	1
Epicardial Mapping	1
Early Detection of Cancer	1
Nitrosation	1
Pain Management	1
Arrestins	1
Perinatal Care	1
S-Nitrosothiols	1
Cyclophilins	1
Lung Diseases, Fungal	1
Isolated Noncompaction of the Ventricular Myocardium	1
Dimethylpolysiloxanes	1
Subarachnoid Hemorrhage, Traumatic	1
Interleukin-5	1
Chromatography, Micellar Electrokinetic Capillary	1
Phalloidine	1
Cathepsin G	1
Aza Compounds	1
Potassium Magnesium Aspartate	1
Multifactorial Inheritance	1
Clavulanic Acid	1
Streptococcus constellatus	1
Photoperiod	1
Subcutaneous Fat	1
Sterol Regulatory Element Binding Protein 2	1
Bioartificial Organs	1
Immunogenetics	1
Regulatory Sequences, Nucleic Acid	1
CREB-Binding Protein	1
Stereotyping	1
Gene Expression Regulation, Neoplastic	1
Radiography, Panoramic	1
Peptidoglycan	1
Sphingomyelins	1
Hyperpolarization-Activated Cyclic Nucleotide-Gated Channels	1
Integrases	1
Wrist Joint	1
Corpus Callosum	1
Cellulitis	1
Adrenocortical Adenoma	1
Botulinum Toxins, Type A	1
Aprindine	1
Censuses	1
Pyrola	1
Receptor, Insulin	1
Ovarian Diseases	1
Molecular Imaging	1
Ceremonial Behavior	1
Contraceptive Agents	1
Radiation, Ionizing	1
Intermittent Pneumatic Compression Devices	1
Flavonols	1
Radioimmunotherapy	1
Chemokine CXCL2	1
Salmonella typhi	1
Self Report	1
Nitrite Reductases	1
Decanoates	1
6-Mercaptopurine	1
Tibial Fractures	1
Entropy	1
Receptors, Leukotriene	1
Karyotyping	1
Mutagens	1
Colon, Ascending	1
Toxicity Tests, Chronic	1
TYK2 Kinase	1
Arisaema	1
Midwifery	1
Radiotherapy, Conformal	1
Sphincter of Oddi	1
Periosteum	1
Teaching Rounds	1
Lipomatosis	1
Gravitation	1
Neoplasms, Experimental	1
Tumor Necrosis Factor Receptor-Associated Peptides and Proteins	1
Cathepsin L	1
Hu Paraneoplastic Encephalomyelitis Antigens	1
Cranial Fossa, Posterior	1
Neisseria meningitidis, Serogroup B	1
Muscle Relaxation	1
Respiratory System	1
Bromides	1
CA-125 Antigen	1
Eczema	1
Carbapenems	1
Flucytosine	1
Brassica	1
Insurance Benefits	1
Colostomy	1
Phosphothreonine	1
Manipulation, Chiropractic	1
Sensory Thresholds	1
Pregnancy, Twin	1
Ileus	1
Tibial Arteries	1
Genes, myc	1
Chromosome Breakage	1
Dimethyl Sulfoxide	1
Apyrase	1
Libya	1
Mice, 129 Strain	1
Endothelin-3	1
Liver Cirrhosis, Biliary	1
Afferent Pathways	1
Sputum	1
Arylsulfotransferase	1
Klippel-Trenaunay-Weber Syndrome	1
Vascular Malformations	1
Ventriculostomy	1
Hemodialysis, Home	1
Chalcone	1
Immunity, Humoral	1
Laryngoscopy	1
Radiography, Dual-Energy Scanned Projection	1
Meckel Diverticulum	1
MAP Kinase Kinase Kinase 5	1
Proto-Oncogene Protein c-ets-1	1
Mucins	1
Schools, Medical	1
Soy Foods	1
Physician Incentive Plans	1
Pulmonary Surgical Procedures	1
Affective Disorders, Psychotic	1
Catheters	1
Receptors, Granulocyte-Macrophage Colony-Stimulating Factor	1
Catechols	1
Cornus	1
Lung Compliance	1
Hydrophobic and Hydrophilic Interactions	1
Respiratory Mucosa	1
Periapical Diseases	1
Genes, erbA	1
Anions	1
Infertility, Female	1
Dental Pulp Diseases	1
Orbital Diseases	1
Germ Cells	1
Hantavirus	1
Sulbactam	1
Acupuncture Analgesia	1
Voice Disorders	1
Receptors, Thromboxane A2, Prostaglandin H2	1
New Orleans	1
Abbreviations as Topic	1
Ketocholesterols	1
Preanesthetic Medication	1
Muscular Atrophy	1
Nitrophenols	1
Dipsacaceae	1
Polyvinyl Alcohol	1
Sleep Initiation and Maintenance Disorders	1
Hydroxycholesterols	1
Pseudoephedrine	1
Calciphylaxis	1
Government Programs	1
Forced Expiratory Flow Rates	1
Cadmium	1
Conjunctivitis	1
Flavanones	1
Campylobacter jejuni	1
Neuropilin-1	1
Character	1
Epilepsies, Myoclonic	1
COUP Transcription Factor II	1
Germanium	1
Peptide Hormones	1
Contracture	1
Antibodies, Blocking	1
Circadian Rhythm Signaling Peptides and Proteins	1
MADS Domain Proteins	1
Sophora	1
Assisted Living Facilities	1
Intercellular Junctions	1
Speech Therapy	1
Anti-Allergic Agents	1
Vascular Endothelial Growth Factor C	1
Oxymetholone	1
Leukemia, Monocytic, Acute	1
Hantavirus Infections	1
Complementary Therapies	1
Heterocyclic Compounds with 4 or More Rings	1
Comparative Effectiveness Research	1
Polycystic Ovary Syndrome	1
Social Identification	1
Glutamates	1
Clinical Coding	1
